segment,delta0,theta0,alpha0,beta0,gamma0,TBR0,delta1,theta1,alpha1,beta1,gamma1,TBR1,delta2,theta2,alpha2,beta2,gamma2,TBR2,delta3,theta3,alpha3,beta3,gamma3,TBR3,Mean_TBR,label,file
1,0.1516863134088752,0.18612472682375641,0.18089628546795622,0.02708495328962102,0.23202256084443468,0.45594902207758536,0.6654394797007832,0.30092898536357704,0.8354062370206302,0.2073728728392704,0.5019707955529698,0.29724547187450034,0.09045089814147957,0.14202121416749264,0.5772609761811833,0.17471580616813057,0.44922088168231905,0.18357394739867927,0.050580379525030486,0.0903814613989734,0.08393552996169065,0.0710438354069862,0.5056758555848108,0.08990781226773036,0.21893928853765593,EC,EC.csv
2,0.06070564165250329,0.0614619403023299,0.05778641887386067,0.04085583827044348,0.12633351045678826,0.12399772389421394,0.3079669428405153,0.2796835057684195,0.16034912053057937,0.2114246527022758,0.4528315925385987,0.27260805341566374,0.04967709423073468,0.0927086566353494,0.14195436964388725,0.17873231343535706,0.4379254488896221,0.1189589171442181,0.0502966920871413,0.024110012266130514,0.02214119875338273,0.055143730801970464,0.26718154863792065,0.03021257296623582,0.08605960765169723,EC,EC.csv
3,0.024303491848008466,0.0607437680189501,0.03406099037712616,0.1522181050862937,0.15019569046546882,0.04477540782146384,0.19395014778902814,0.0803488828329872,0.09531437415891542,0.4055439580499418,0.16993179848045709,0.03905529920545725,0.07243322101183963,0.10861646294827719,0.07655617191626574,0.40643695331763247,0.2570324732774021,0.06961117858843166,0.005459390200600855,0.020895451324230544,0.011226167962850777,0.1270274551808695,0.3707854444936624,0.011657481793045087,0.01900737619611638,EC,EC.csv
4,0.00039985923313701904,0.01981670042134119,0.012443596923795498,0.07598879440708887,0.10879203084387469,0.02719421782068723,0.02600930158949889,0.10318266426726874,0.031153231668577964,0.37342331417161745,0.5762538441343767,0.05804781227066022,0.005594540622844835,0.0416892392995528,0.0,0.32711941920710896,0.2890793716021909,0.033131170875186945,0.000945482057399014,0.012437161639091643,0.008371608594330537,0.07038765608706428,0.2698923712398363,0.012465510614768348,0.013964587053186386,EC,EC.csv
5,0.018810406106807273,0.020031652053496357,0.017780755591008515,0.06489882950860937,0.18098846709767896,0.031237201657663274,0.04316539187236128,0.2365787109931555,0.27529964111584576,0.3293477302811435,0.2553791797387921,0.15970171410869674,0.015629840699346104,0.1529513320642743,0.23203915719067858,0.24788809867349776,0.27350122316487807,0.14967292592833328,0.007318375803645479,0.012761255720995771,0.01039467776634826,0.053800429253356055,0.2704468243420489,0.01652060156672953,0.044231501347940586,EC,EC.csv
6,0.018790155274545795,0.041313613757741445,0.2075947399649782,0.03220261201747765,0.15189185325014004,0.09728564418484287,0.09915205186092363,0.0535577181990423,0.16363940584945924,0.3389444832697843,0.5260350295877062,0.031126360336777195,0.03209247230713146,0.08418999643713837,0.11455157350816986,0.16587427580825123,0.42489430784768006,0.11469347886398082,0.011684061079154777,0.01984509342563754,0.08965513068529768,0.04534118971952418,0.38400201615877955,0.029635612314325707,0.049894775203304834,EC,EC.csv
7,0.03920059859918455,0.07177712973317653,0.2815819666214117,0.028621673926880652,0.09803298921347493,0.17511778353506716,0.24445208945087776,0.316804079613925,0.7765574943089342,0.5952370154250641,0.35538845602508096,0.12198710620822997,0.06399335463056348,0.29541697452640675,0.7984397126425178,0.27515203608022964,0.31978459052744523,0.2634550578306688,0.009281789176161239,0.03313617011921434,0.11776281808930887,0.046668579735339055,0.275834110007783,0.04785518574756751,0.1105568246471292,EC,EC.csv
8,0.028521022606293845,0.01896595961008804,0.07806611538753781,0.030536340880221623,0.10457440482761289,0.049233406571870954,0.010036356002469975,0.02320539652690192,0.23661717263484852,0.2544931282984997,0.4379589716560006,0.019824208100555803,0.009925833118168616,0.03239827451784473,0.1850945972089212,0.11722213461725814,0.27098212020306617,0.05997249434981632,0.01211623625828935,0.008804815479153127,0.018016346732066483,0.04024432074072275,0.3673388775533088,0.01504324921405487,0.01938079835868079,EC,EC.csv
9,0.05493582119092669,0.031124546336437547,0.14737688821419723,0.02255230043928075,0.2217556224053467,0.08931332776469124,0.14965929692355345,0.19518866193412834,0.3744966387064042,0.16466542928509462,0.39258372708675704,0.23059870593248302,0.028054092798669005,0.21403021643112602,0.5197476587824119,0.09889950639872186,0.46153153021777565,0.40863546956324276,0.032249488388615515,0.011304840534429062,0.047406637402171214,0.04546422657601623,0.6284694208337548,0.017121274684728086,0.09606357636586896,EC,EC.csv
10,0.04283166277064805,0.044833363496469124,0.0342466817664666,0.03802941496486273,0.026058149552241727,0.09567284425259213,0.1273230210508722,0.14087004594773392,0.24185836653088577,0.14541090788359873,0.268449936659209,0.1848308024320659,0.04766041671700727,0.1785048205578312,0.2366741601227716,0.15636796022179347,0.2625898678914466,0.24968340109845408,0.025672548830870216,0.015686005253529246,0.03043008280010876,0.06329820741792173,0.14634876882517422,0.01739650422157632,0.07358912335104359,EC,EC.csv
11,0.027500451577603568,0.025436589695466638,0.0441021863561348,0.016320920831178653,0.18639459949041348,0.0850508364971664,0.1567961141574138,0.0945589543487435,0.49095422874112155,0.38157936787429625,0.46190647250741124,0.05123377336709764,0.035970523366870705,0.14378991416198486,0.5371080599758198,0.31077948141867817,0.6330386462608941,0.11642614392769149,0.03505975156615445,0.012402738616174924,0.01770341938761233,0.03741610113441919,0.5615855315272396,0.022176593388567235,0.043569346888691865,EC,EC.csv
12,0.014413839443393004,0.05115782748435219,0.04490143975637097,0.03122622322643197,0.09540964663333255,0.12106515995516702,0.06595101885749086,0.17434375457792808,0.3130599442155344,0.459191953188995,0.40697203281681527,0.08269557152570763,0.03567678707968018,0.11291378729763844,0.16584017878862167,0.41223520249342804,0.4068132195496289,0.07142183142893924,0.021354292157544738,0.015040867981742817,0.026930195207197055,0.04811479204106088,0.4013144718817584,0.021461793705746413,0.049328461504778,EC,EC.csv
13,0.013841214053163587,0.042139953347825936,0.08128189960945507,0.03658122757225317,0.10407100025942072,0.092284241545893,0.14787467587983932,0.196534053114157,0.27425209569140463,0.30576753369526,0.6089744689779559,0.14121192698309917,0.018796743644373035,0.13592329097020692,0.3523837324283438,0.25260467098564104,0.7130243198391426,0.1311856867831604,0.00453266794629768,0.011040071349777828,0.01714769239515958,0.048026602695013396,0.4170865995860082,0.015926132716146502,0.05249962800602753,EC,EC.csv
14,0.003293766503754442,0.02242859638400036,0.012043768149036854,0.07493105614620853,0.05167997002665793,0.030944812345350407,0.12516450270902899,0.11726318550341039,0.16955981719047444,0.09716829407034833,0.40246619840839193,0.2014980477436596,0.062054409595849354,0.12987183998395505,0.14110802354128532,0.14936823299068225,0.3581069791351612,0.18899219947796128,0.0024974326114857994,0.010995677494386933,0.010188597227245992,0.09950445539957466,0.25302735370726986,0.007687248378738133,0.046334488314993316,EC,EC.csv
15,0.004817914479418271,0.01854297801126501,0.05030557055328497,0.047463004373116235,0.13439698683990586,0.03668675625244323,0.034504146735595355,0.1376793465819542,0.22672159816299692,0.29630532761384165,0.3357612824288728,0.10094009785381783,0.016635177689916115,0.1356904904207792,0.16250494460416448,0.19103833742176973,0.3740149707329033,0.16389702669367398,0.003649672361983455,0.007632171020779012,0.020532558646917453,0.08579738855350953,0.4670140483884528,0.0061733648884316275,0.031118519365768663,EC,EC.csv
16,0.0017597409904949349,0.03219660137488488,0.0,0.023853998866765192,0.1290780366744727,0.08978201938328235,0.051206638636911495,0.1142542237551358,0.22055630721925665,0.28017673018648215,0.6415979187386057,0.08805324859573753,0.005070936115421708,0.052712928361582256,0.2972055289161844,0.2638316764185072,0.47288521599295835,0.05021908494971275,0.0028537189589424496,0.023262209845239423,0.0075783464149325065,0.041573264311201036,0.42485499347645433,0.03728352088279128,0.05419770860591569,EC,EC.csv
17,0.005906490008716697,0.0038604619767646344,0.04544513939016946,0.05182884518697338,0.11475916177946018,0.0097586305908521,0.14304272932932532,0.17074365879936448,0.7277055585301239,0.6187915794492164,0.5533603510541909,0.056456297771561026,0.05952135973303985,0.19796911286771934,0.5270822735215184,0.4857610396911664,0.8333824588290389,0.10762826066690324,0.006848247784223856,0.006241508983025427,0.012357236461391221,0.06273782448375628,0.5316530804219416,0.007066260084103409,0.014094896100769715,EC,EC.csv
18,0.0029062364978607114,0.04076242091607135,0.009936218401858937,0.021329723610362585,0.025893901452987533,0.11742574063185987,0.2704023382036042,0.21867515344436886,0.031132919432303518,0.24111917409573339,0.5197449044204607,0.1928835708906552,0.04099293074258155,0.10201045026511196,0.03271447650489346,0.18245980960458633,0.2765851144745348,0.12849413912750776,0.00569052934175088,0.02175707584076629,0.013605011180583805,0.04060958734115219,0.2048523077179994,0.035621875641026396,0.08063515058218121,EC,EC.csv
19,0.0023976078767123663,0.029604272502878608,0.03316239900562532,0.035582715484107075,0.05586672441396413,0.06742793573719248,0.3075188900477607,0.186458362039813,0.40243122227161465,0.32614669385335127,0.3944045270870209,0.12601333089465505,0.07262814287370128,0.05661345730109542,0.34879748648420683,0.2714109771808807,0.37359269039656523,0.0525045740724671,0.0028357323895911316,0.01323351212274994,0.011622148675217039,0.06037367281492033,0.2519441761848484,0.01537250741890259,0.035652109940472465,EC,EC.csv
20,0.0028467896817624006,0.05714397089584255,0.10464685486466103,0.04823282480650644,0.08301684944031944,0.10425206854989434,0.022470319423287744,0.1380389777941775,0.04629413695247461,0.2986084896757013,0.21101453528218395,0.10045897695387479,0.01247372955932776,0.14590260932379373,0.08828970982735715,0.22234392755895765,0.2321894819670387,0.15609543532804057,0.004183969088674001,0.020379647006423807,0.05673886153315319,0.07809837527687886,0.2961978629749437,0.018507764348896776,0.0552121997132079,EC,EC.csv
21,0.012032557846611851,0.019166862474719343,0.05465619666319077,0.062353490495451774,0.10187450958264348,0.030938681338834855,0.07338211954957127,0.0613684184336077,0.07796045236388484,0.31290059755802035,0.35871046155693953,0.04054948841650442,0.03032746226223106,0.07242659486406165,0.17350191222113479,0.16055884625098107,0.4986980785889423,0.10165784879338918,0.005699471415273366,0.014513436931863114,0.015356717038270351,0.09325181299937019,0.3823469445275538,0.01098823178819359,0.01936531165436369,EC,EC.csv
